# MUI 3.8 symbol inventory -- the oracle for scripts/check-mui38.py.
# Source: mui38dev.lha (MUI 3.8 developer archive, (c) 1993-1997 Stefan Stuntz),
#         sha256 8d28b0262fa6f43a9a8e114da368a9309256bbc2f99fa1c23d8e4c105d565722
# Regenerate: python3 scripts/check-mui38.py --gen-inventory <mui38-SDK-root> > scripts/mui38-symbols.tsv
# Columns: name<TAB>version-introduced<TAB>access-flags  ('-' = not annotated)
# MUI 3.8 is muimaster.library 19; its headers annotate nothing above V18.
MUIA_Boopsi_TagWindow	4	isg
MUIA_BottomEdge	4	..g
MUIA_Coloradjust_Blue	4	isg
MUIA_Coloradjust_Green	4	isg
MUIA_Coloradjust_ModeID	4	isg
MUIA_Coloradjust_RGB	4	isg
MUIA_Coloradjust_Red	4	isg
MUIA_Colorfield_Blue	4	isg
MUIA_Colorfield_Green	4	isg
MUIA_Colorfield_Pen	4	..g
MUIA_Colorfield_RGB	4	isg
MUIA_Colorfield_Red	4	isg
MUIA_ContextMenu	11	isg
MUIA_ContextMenuTrigger	11	..g
MUIA_ControlChar	4	isg
MUIA_CycleChain	11	isg
MUIA_Cycle_Active	4	isg
MUIA_Cycle_Entries	4	i..
MUIA_Dataspace_Pool	11	i..
MUIA_Dirlist_AcceptPattern	4	is.
MUIA_Dirlist_Directory	4	isg
MUIA_Dirlist_DrawersOnly	4	is.
MUIA_Dirlist_FilesOnly	4	is.
MUIA_Dirlist_FilterDrawers	4	is.
MUIA_Dirlist_FilterHook	4	is.
MUIA_Dirlist_MultiSelDirs	6	is.
MUIA_Dirlist_NumBytes	4	..g
MUIA_Dirlist_NumDrawers	4	..g
MUIA_Dirlist_NumFiles	4	..g
MUIA_Dirlist_Path	4	..g
MUIA_Dirlist_RejectIcons	4	is.
MUIA_Dirlist_RejectPattern	4	is.
MUIA_Dirlist_SortDirs	4	is.
MUIA_Dirlist_SortHighLow	4	is.
MUIA_Dirlist_SortType	4	is.
MUIA_Dirlist_Status	4	..g
MUIA_Disabled	4	isg
MUIA_DispIDinfo_ID	-	-
MUIA_DispIDlist_CurrentID	-	-
MUIA_DispIDlist_Quiet	-	-
MUIA_Draggable	11	isg
MUIA_Dropable	11	isg
MUIA_EditWindow_Originator	-	-
MUIA_EditWindow_Title	-	-
MUIA_ExportID	4	isg
MUIA_Family_Child	8	i..
MUIA_Family_List	8	..g
MUIA_FillArea	4	is.
MUIA_FixHeight	4	i..
MUIA_FixHeightTxt	4	i..
MUIA_FixWidth	4	i..
MUIA_FixWidthTxt	4	i..
MUIA_Floattext_Justify	4	isg
MUIA_Floattext_SkipChars	4	is.
MUIA_Floattext_TabSize	4	is.
MUIA_Floattext_Text	4	isg
MUIA_Font	4	i.g
MUIA_Frame	4	i..
MUIA_FramePhantomHoriz	4	i..
MUIA_FrameTitle	4	i..
MUIA_Gadget_Gadget	11	..g
MUIA_Gauge_Current	4	isg
MUIA_Gauge_Divide	4	isg
MUIA_Gauge_Horiz	4	i..
MUIA_Gauge_InfoText	7	isg
MUIA_Gauge_Max	4	isg
MUIA_Group_ActivePage	5	isg
MUIA_Group_Child	4	i..
MUIA_Group_ChildList	4	..g
MUIA_Group_Columns	4	is.
MUIA_Group_Horiz	4	i..
MUIA_Group_HorizSpacing	4	isg
MUIA_Group_LayoutHook	11	i..
MUIA_Group_PageMode	5	i..
MUIA_Group_Rows	4	is.
MUIA_Group_SameHeight	4	i..
MUIA_Group_SameSize	4	i..
